channel,h,K2_fd,K2_exact,abs_error,rel_error
dephase,0.01,106.36942581833841,112.0,5.630574181661586,0.05027298376483559
dephase,0.005,109.15257711568982,112.0,2.847422884310177,0.025423418609912294
dephase,0.0025,110.56817207473202,112.0,1.4318279252679815,0.012784177904178406
dephase,0.00125,111.28204646198014,112.0,0.7179535380198558,0.006410299446605856
amp_damp,0.01,14.88030000000251,15.0,0.11969999999748993,0.007979999999832661
amp_damp,0.005,14.940074999625352,15.0,0.05992500037464765,0.00399500002497651
amp_damp,0.0025,14.97001875036652,15.0,0.02998124963347948,0.0019987499755652984
amp_damp,0.00125,14.985004672389834,15.0,0.014995327610165532,0.0009996885073443689
