sector_r,channel,gamma_probe,offdiag_mass,max_abs_offdiag,max_abs_offdiag_over_probe,swap_entry,swap_prediction,probe_scaling_exponent
1,depol,0.001,0.0,0.0,0.0,0.0,,
1,depol,0.0005,-1.5247753268436566e-16,0.0,0.0,0.0,,
1,x_err,0.001,0.000124671861692626,0.0009940149800149946,0.9940149800149946,0.0009940149800149946,0.000994014980014994,0.9956686662867434
1,x_err,0.0005,6.24179670638689e-05,0.0004985018737504693,0.9970037475009386,0.0004985018737504689,0.0004985018737504688,0.9956686662867434
1,biased_pauli,0.001,2.2184666282160388e-05,0.00015923353436258275,0.15923353436258275,0.00015923353436258272,,0.9965354531275199
1,biased_pauli,0.0005,1.110172525870293e-05,7.980819189763081e-05,0.1596163837952616,7.980819189763078e-05,,0.9965354531275199
1,dephase,0.001,0.0,0.0,0.0,0.0,,
1,dephase,0.0005,0.0,0.0,0.0,0.0,,
1,corr_dephase,0.001,1.4817791453121465e-16,0.0,0.0,0.0,,
1,corr_dephase,0.0005,0.0,0.0,0.0,0.0,,
1,amp_damp,0.001,0.0,0.0,0.0,0.0,,
1,amp_damp,0.0005,0.0,0.0,0.0,0.0,,
2,depol,0.001,0.00013303281948810107,0.0004420792040859031,0.44207920408590307,0.000442079204085903,0.00044444444444444447,0.9961499253382593
2,depol,0.0005,6.659154686382347e-05,0.0002216302712429111,0.4432605424858222,0.00022163027124291106,0.00022222222222222223,0.9961499253382593
2,x_err,0.001,0.0006092118589358514,0.0009940149800149946,0.9940149800149946,,,0.9956686662867434
2,x_err,0.0005,0.0003050804948382849,0.0004985018737504693,0.9970037475009386,,,0.9956686662867434
2,biased_pauli,0.001,0.00024126164446235457,0.0006364242842488647,0.6364242842488647,,,0.9959575084696618
2,biased_pauli,0.0005,0.00012078051786447119,0.0003191050361653375,0.6382100723306751,,,0.9959575084696618
2,dephase,0.001,-1.9381510245129379e-16,0.0,0.0,,,
2,dephase,0.0005,-1.9357988516402055e-16,0.0,0.0,,,
2,corr_dephase,0.001,-2.965039327768526e-16,0.0,0.0,,,
2,corr_dephase,0.0005,4.444224155839532e-16,0.0,0.0,,,
2,amp_damp,0.001,1.203637138374797e-15,0.0,0.0,,,
2,amp_damp,0.0005,-9.025021153832736e-16,0.0,0.0,,,
