depth,ell,q,role,omega_pred,om_extrap,pred_on_meas_draws,matched_draw_dev,diff_median,diff_ci90_lo,diff_ci90_hi,diff_ci95_lo,diff_ci95_hi,margin,verdict
5,2,7,control,0.3999999999999954,0.40037390319658506,0.3999999999999948,0.00037390319659025284,0.00037390319658786586,0.000373903196581038,0.0003739031965944717,0.0003739031965795378,0.00037390319659541955,0.01,equivalent
5,3,7,control,0.3999999999999954,0.40037390319658395,0.3999999999999949,0.0003739031965890316,0.0003739031965896422,0.00037390319658242577,0.0003739031965970807,0.00037390319658142516,0.00037390319659813683,0.01,equivalent
6,2,0,stress,0.34984602274857446,0.3837708458921044,0.38360411762747565,0.00016672826462876822,0.034554277778175185,-0.009616014303244724,0.07536519722312542,-0.01627586251288702,0.0826374556998998,0.01,inconclusive
6,3,0,stress,0.2933818071676854,0.31389416019994687,0.31374012552708425,0.00015403467286262407,0.02170649573172781,-0.024471420807502677,0.0625647538110667,-0.031308765510213256,0.07371874680577849,0.01,inconclusive
