depth,ell,q,gamma,cut_predictor_protected,cut_slots,visible_unprotected_fraction,omega_resp_pred,omega_hat_measured,delta_tilde,delta_ci_lo,delta_ci_hi,n_used,ess,binary_agree
3,1,0,0.01,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.729630866449922e-16,4.630559829100458e-16,1.1102230246251565e-16,-2.886579864025407e-15,3.552713678800501e-15,30,15.404406300117014,True
3,1,0,0.02,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.729630866449922e-16,-1.852223931640183e-15,-8.881784197001252e-16,-5.995204332975845e-15,3.4444669338995456e-15,30,15.404406300117014,True
3,1,1,0.01,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.729630866449922e-16,2.778335897460275e-15,6.661338147750939e-16,-1.7763568394002505e-15,4.884981308350689e-15,30,15.404406300117014,True
3,1,1,0.02,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.729630866449922e-16,-4.630559829100458e-16,-2.220446049250313e-16,-4.22439860869872e-15,4.551914400963142e-15,30,15.404406300117014,True
3,2,0,0.01,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.318575549492013e-16,-1.3891679487301373e-14,-3.3306690738754696e-15,-7.771561172376096e-15,4.46864767411623e-16,30,15.404406300117012,True
3,2,0,0.02,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.318575549492013e-16,1.1576399572751145e-15,5.551115123125783e-16,-5.329070518200751e-15,6.106226635438361e-15,30,15.404406300117012,True
3,2,1,0.01,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.318575549492013e-16,-7.408895726560732e-15,-1.7763568394002505e-15,-6.222800053024002e-15,3.2224223289745143e-15,30,15.404406300117012,True
3,2,1,0.02,True,"{0: [0, 1], 1: [0, 1], 2: [0]}",0.0,6.318575549492013e-16,3.0098638889152978e-15,1.4432899320127035e-15,-3.5582647939236264e-15,9.328648964412875e-15,30,15.404406300117012,True
4,2,0,0.01,False,"{0: [0, 1], 1: [0, 1, 7], 2: [0, 7], 3: [0]}",0.8621750062012119,0.5025062742216484,0.463322172263819,0.14811483202930176,0.14213339720833942,0.15409039499366126,30,13.36809169655669,True
4,2,0,0.02,False,"{0: [0, 1], 1: [0, 1, 7], 2: [0, 7], 3: [0]}",0.8621750062012119,0.5025062742216484,0.43209158833982825,0.27626207792096025,0.26555115591073497,0.28681492980443407,30,13.36809169655669,True
4,3,7,0.01,False,"{0: [0, 1], 1: [0, 1, 7], 2: [0, 7], 3: [0]}",0.9625330228539895,0.49999999999999817,0.46683238681873035,0.14923697741821584,0.14923697741821362,0.14923697741821718,30,10.699534751057044,True
4,3,7,0.02,False,"{0: [0, 1], 1: [0, 1, 7], 2: [0, 7], 3: [0]}",0.9625330228539895,0.49999999999999817,0.435764547385135,0.2786104210161676,0.2786104210161655,0.2786104210161696,30,10.699534751057044,True
5,2,7,0.01,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 7], 3: [0, 1], 4: [0]}",0.8064302952281874,0.3999999999999946,0.3734659094549779,0.1492369774182133,0.14923697741821051,0.14923697741821595,30,15.449943440796766,True
5,2,7,0.02,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 7], 3: [0, 1], 4: [0]}",0.8064302952281874,0.3999999999999946,0.3486116379081095,0.27861042101616884,0.2786104210161663,0.27861042101617195,30,15.449943440796766,True
5,3,7,0.01,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 7], 3: [0, 1], 4: [0]}",0.8064302952281874,0.39999999999999464,0.3734659094549798,0.14923697741821407,0.1492369774182104,0.1492369774182183,30,15.449943440796758,True
5,3,7,0.02,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 7], 3: [0, 1], 4: [0]}",0.8064302952281874,0.39999999999999464,0.34861163790810895,0.2786104210161684,0.27861042101616496,0.2786104210161726,30,15.449943440796758,True
6,2,0,0.01,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 6, 7], 3: [0, 1, 6, 7], 4: [0, 7], 5: [0]}",0.6209143270053415,0.300846960779731,0.4057241847350061,0.1945528610641355,0.14421052819680993,0.23594696647364422,30,10.96432992833598,True
6,2,0,0.02,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 6, 7], 3: [0, 1, 6, 7], 4: [0, 7], 5: [0]}",0.6209143270053415,0.300846960779731,0.3567909202020983,0.3421767641106298,0.25307787903569756,0.41135452074246165,30,10.96432992833598,True
6,3,0,0.01,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 6, 7], 3: [0, 1, 6, 7], 4: [0, 7], 5: [0]}",0.5466368794661862,0.24721624354642963,0.33048121125674884,0.1584723504218406,0.10272145603580288,0.21136818394103601,30,11.616916944730967,True
6,3,0,0.02,False,"{0: [0, 1], 1: [0, 1, 2, 7], 2: [0, 1, 2, 6, 7], 3: [0, 1, 6, 7], 4: [0, 7], 5: [0]}",0.5466368794661862,0.24721624354642963,0.2913723579614924,0.27943774617939743,0.18135458578932917,0.36917466268232335,30,11.616916944730967,True
