record_type,depth,ell,q,estimator_size,n_replicates,estimate,target,difference,standard_error,ci95_lo,ci95_hi,interval_kind
replicate_mean,6,2,0,40,10,0.3635213138931731,0.3709390604117742,-0.007417746518601109,0.010274238271119574,0.34027937219529025,0.38676325559105595,t(9)
replicate_mean,6,2,0,120,10,0.3663925781064884,0.3709390604117742,-0.004546482305285815,0.007405925956653402,0.3496392096560778,0.383145946556899,t(9)
paired_size_shift,6,2,0,-1,10,0.00287126421331525,0.0,0.00287126421331525,0.006287168231547338,-0.011351298435748301,0.0170938268623788,paired t(9)
measured_extrapolation,6,2,0,0,0,0.38338707504621233,0.3709390604117742,0.01244801463443812,,,,point
replicate_mean,6,3,0,40,10,0.2947055733095308,0.3053608529984477,-0.010655279688916885,0.012636236264921741,0.2661204209313213,0.32329072568774025,t(9)
replicate_mean,6,3,0,120,10,0.29556283611278217,0.3053608529984477,-0.009798016885665506,0.008755979613524954,0.27575543411224224,0.3153702381133221,t(9)
paired_size_shift,6,3,0,-1,10,0.0008572628032513768,0.0,0.0008572628032513768,0.007256060353405925,-0.015557086099307484,0.017271611705810236,paired t(9)
measured_extrapolation,6,3,0,0,0,0.31358026603974687,0.3053608529984477,0.008219413041299195,,,,point
