channel,a,b,rate_numeric,rate_analytic
dephase,1,32,3.9959999999992224,4.0
dephase,1,64,3.9959999999992224,4.0
dephase,1,128,3.9959999999992224,4.0
dephase,2,1,3.9959999999992224,4.0
dephase,2,4,3.9959999999993334,4.0
dephase,2,8,3.9959999999993334,4.0
dephase,2,16,3.9959999999993334,4.0
dephase,2,32,3.9959999999993334,4.0
dephase,2,64,3.9959999999993334,4.0
dephase,2,128,3.9959999999993334,4.0
dephase,4,1,3.9959999999992224,4.0
dephase,4,2,3.9959999999993334,4.0
dephase,4,8,3.9959999999994444,4.0
dephase,4,16,3.9959999999994444,4.0
dephase,4,32,3.9959999999994444,4.0
dephase,4,64,3.9959999999994444,4.0
dephase,4,128,3.9959999999994444,4.0
dephase,8,1,3.9959999999992224,4.0
dephase,8,2,3.9959999999993334,4.0
dephase,8,4,3.9959999999994444,4.0
dephase,8,16,3.9959999999995555,4.0
dephase,8,32,3.9959999999995555,4.0
dephase,8,64,3.9959999999995555,4.0
dephase,8,128,3.9959999999995555,4.0
dephase,16,1,3.9959999999992224,4.0
dephase,16,2,3.9959999999993334,4.0
dephase,16,4,3.9959999999994444,4.0
dephase,16,8,3.9959999999995555,4.0
dephase,16,32,3.9959999999996665,4.0
dephase,16,64,3.9959999999996665,4.0
dephase,16,128,3.9959999999996665,4.0
dephase,32,1,3.9959999999992224,4.0
dephase,32,2,3.9959999999993334,4.0
dephase,32,4,3.9959999999994444,4.0
dephase,32,8,3.9959999999995555,4.0
dephase,32,16,3.9959999999996665,4.0
dephase,32,64,3.9959999999997775,4.0
dephase,32,128,3.9959999999997775,4.0
dephase,64,1,3.9959999999992224,4.0
dephase,64,2,3.9959999999993334,4.0
dephase,64,4,3.9959999999994444,4.0
dephase,64,8,3.9959999999995555,4.0
dephase,64,16,3.9959999999996665,4.0
dephase,64,32,3.9959999999997775,4.0
dephase,64,128,3.9959999999998885,4.0
dephase,128,1,3.9959999999992224,4.0
dephase,128,2,3.9959999999993334,4.0
dephase,128,4,3.9959999999994444,4.0
dephase,128,8,3.9959999999995555,4.0
dephase,128,16,3.9959999999996665,4.0
dephase,128,32,3.9959999999997775,4.0
dephase,128,64,3.9959999999998885,4.0
depol,1,2,6.647586339771916,6.666666666666666
depol,1,4,6.647586339771694,6.666666666666666
depol,1,8,6.647586339771694,6.666666666666666
depol,1,16,6.647586339771694,6.666666666666666
depol,1,32,6.647586339771694,6.666666666666666
depol,1,64,6.647586339771694,6.666666666666666
depol,1,128,6.647586339771805,6.666666666666666
depol,2,1,6.647586339771916,6.666666666666666
depol,2,4,6.647586339771805,6.666666666666666
depol,2,8,6.647586339771805,6.666666666666666
depol,2,16,6.647586339771805,6.666666666666666
depol,2,32,6.647586339771805,6.666666666666666
