depth,ell,q,role,gamma,lambda_coh,om_hat,om_hat_lo,om_hat_hi,n_used,omega_pred,pred_lo,pred_hi,ess_pred,om_extrap,extrap_lo,extrap_hi,om_extrap_lin,interval_gap,intervals_disjoint,verdict
5,2,7,control,0.005,3.9960000000001106,0.3866631910514404,0.3866631910514371,0.3866631910514432,400,0.39999999999999547,0.399999999999994,0.39999999999999686,51.29664988581545,0.40037390319658367,0.4003739031965754,0.40037390319659166,0.39986047264790114,0.00037390319657854,False,control_agrees
5,2,7,control,0.01,3.9960000000001106,0.3734659094549798,0.37346590945497815,0.3734659094549815,400,0.39999999999999547,0.399999999999994,0.39999999999999686,51.29664988581545,0.40037390319658367,0.4003739031965754,0.40037390319659166,0.39986047264790114,0.00037390319657854,False,control_agrees
5,2,7,control,0.02,3.9960000000001106,0.348611637908107,0.3486116379081062,0.3486116379081081,400,0.39999999999999547,0.399999999999994,0.39999999999999686,51.29664988581545,0.40037390319658367,0.4003739031965754,0.40037390319659166,0.39986047264790114,0.00037390319657854,False,control_agrees
5,3,7,control,0.005,3.9960000000001106,0.386663191051441,0.38666319105143765,0.38666319105144487,400,0.3999999999999954,0.399999999999994,0.39999999999999686,51.29664988581546,0.40037390319658456,0.40037390319657595,0.4003739031965939,0.3998604726479017,0.0003739031965790951,False,control_agrees
5,3,7,control,0.01,3.9960000000001106,0.3734659094549801,0.373465909454979,0.3734659094549826,400,0.3999999999999954,0.399999999999994,0.39999999999999686,51.29664988581546,0.40037390319658456,0.40037390319657595,0.4003739031965939,0.3998604726479017,0.0003739031965790951,False,control_agrees
5,3,7,control,0.02,3.9960000000001106,0.3486116379081073,0.34861163790810645,0.3486116379081084,400,0.3999999999999954,0.399999999999994,0.39999999999999686,51.29664988581546,0.40037390319658456,0.40037390319657595,0.4003739031965939,0.3998604726479017,0.0003739031965790951,False,control_agrees
6,2,0,stress,0.005,3.9960000000001106,0.3606632263760025,0.33629941082866527,0.38291821210706917,400,0.34984602274857446,0.3046691509697824,0.3898778008476901,35.64733429792652,0.38377084589210464,0.3600986333440033,0.40762582406520215,0.38209444147935506,-0.029779167503686754,False,resolved
6,2,0,stress,0.01,3.9960000000001106,0.33923201127265007,0.31713776576734576,0.3597314034845909,400,0.34984602274857446,0.3046691509697824,0.3898778008476901,35.64733429792652,0.38377084589210464,0.3600986333440033,0.40762582406520215,0.38209444147935506,-0.029779167503686754,False,resolved
6,2,0,stress,0.02,3.9960000000001106,0.3013987943041949,0.2823813703074841,0.3185969197012132,400,0.34984602274857446,0.3046691509697824,0.3898778008476901,35.64733429792652,0.38377084589210464,0.3600986333440033,0.40762582406520215,0.38209444147935506,-0.029779167503686754,False,resolved
6,3,0,stress,0.005,3.9960000000001106,0.29629408285721814,0.2738577890196529,0.3182712829917797,400,0.2933818071676854,0.2472401913713814,0.33511952700610675,35.69015424037434,0.31389416019994687,0.2902592907361345,0.33735508337090975,0.312648309746056,-0.044860236269972265,False,resolved
6,3,0,stress,0.01,3.9960000000001106,0.2799398559683803,0.258692011002498,0.30061584608146064,400,0.2933818071676854,0.2472401913713814,0.33511952700610675,35.69015424037434,0.31389416019994687,0.2902592907361345,0.33735508337090975,0.312648309746056,-0.044860236269972265,False,resolved
6,3,0,stress,0.02,3.9960000000001106,0.2509689535523766,0.23236707590270236,0.26918632247480623,400,0.2933818071676854,0.2472401913713814,0.33511952700610675,35.69015424037434,0.31389416019994687,0.2902592907361345,0.33735508337090975,0.312648309746056,-0.044860236269972265,False,resolved
