kind,index,lambda_coh,omega_mode,omega_resp,in_unit_interval,mode_ge_resp
dephasing_profile,0,5.676182333630764,0.6776669537093982,0.43637520467724483,True,True
dephasing_profile,1,7.678683385499152,0.6299367645065836,0.415266258710862,True,True
dephasing_profile,2,7.1668038162951975,0.7700275210064976,0.3553431008372673,True,True
dephasing_profile,3,5.895927387079336,0.9849269360048026,0.5238267648849804,True,True
dephasing_profile,4,5.287454238067202,0.5882723579798445,0.2860120782916594,True,True
dephasing_profile,5,5.172053249179132,0.821488119622583,0.5699486857161808,True,True
dephasing_profile,6,7.001718707846827,0.4390942010871947,0.1786222017314493,True,True
dephasing_profile,7,5.6778437143684135,0.6173309304632877,0.3756206872564482,True,True
dephasing_profile,8,5.5030895741481345,0.7216522935230304,0.5083358093984262,True,True
dephasing_profile,9,7.719604411373093,0.41450569583041913,0.36732425801253965,True,True
dephasing_profile,10,5.815545995795368,0.7515640055579459,0.36118687035362457,True,True
dephasing_profile,11,5.362815416305233,0.8496501722768142,0.5730942885106614,True,True
dephasing_profile,12,6.775934478688628,0.532138832549838,0.37574116857847656,True,True
dephasing_profile,13,6.020322683068846,0.6079403083972377,0.21619990135122277,True,True
dephasing_profile,14,6.8266899090232425,0.6078344987275973,0.2997497167059611,True,True
dephasing_profile,15,6.473397995005237,0.5842420351032547,0.4699320687943137,True,True
dephasing_profile,16,5.656112073649133,0.6750525254421734,0.45092280826607156,True,True
dephasing_profile,17,6.148261576211289,0.3095418863985281,0.2744806569833975,True,True
dephasing_profile,18,6.228278629502038,0.8351480674334908,0.5797194092154407,True,True
dephasing_profile,19,6.685093732934577,0.45606217137849114,0.20736673685377838,True,True
dephasing_profile,20,6.040409472652719,0.613137236162221,0.439286252990077,True,True
dephasing_profile,21,5.059124650854896,0.8591309282232237,0.5007650820829804,True,True
dephasing_profile,22,6.139896075830209,0.8250573964050948,0.3703078833974513,True,True
dephasing_profile,23,6.53274295727968,0.2900647064296624,0.2407622404883332,True,True
dephasing_profile,24,6.335617583441588,0.6396142652708702,0.6666666666666692,True,False
dephasing_profile,25,5.247780461574814,0.7735336330796028,0.30096944388668867,True,True
dephasing_profile,26,6.856660072525944,0.7873895274431575,0.39169924105026116,True,True
dephasing_profile,27,4.695849790332662,0.935296435624979,0.6660885438047168,True,True
dephasing_profile,28,6.367755094294325,0.7701910442497851,0.4530653312247855,True,True
dephasing_profile,29,6.408695234454864,0.7086212635016648,0.30241241879402514,True,True
dephasing_profile,30,7.885772986014228,0.3852036423795167,0.25257419403064935,True,True
dephasing_profile,31,6.121973587581264,0.469838490511839,0.5024481651709871,True,False
dephasing_profile,32,5.741551785973131,0.5950860190025444,0.4412215417194277,True,True
dephasing_profile,33,7.25276703417399,0.5327202124080439,0.4095050334859883,True,True
dephasing_profile,34,6.362391202975881,0.41154017503095963,0.3462398458837503,True,True
dephasing_profile,35,6.721897543177202,0.5717108646536063,0.29067634584582364,True,True
dephasing_profile,36,6.5224614041913265,0.6965485922880712,0.5241401028224744,True,True
dephasing_profile,37,4.965667812071639,0.9231023876725508,0.6244102352848575,True,True
