r,ell,q,visible_unprotected_fraction,visible_protected_fraction,omega_hat_g002,protected_pair_fraction_graph
2,0,7,0.8706668968803187,0.12933310311968127,0.14421787458133034,0.1111111111111111
2,1,0,0.5997420880753321,0.40025791192466786,0.16019493578863508,0.1111111111111111
1,2,1,0.0,1.0,0.0,0.14285714285714285
