ell,q,lambda_mode,phi_mode_unprotected,visible_unprotected_fraction,ratio_gamma_0.1,ratio_gamma_0.3,all_orders_dev,coherent_delta_tilde_g002
1,0,3.8712595811782586,0.9687836789735114,0.0,1.0000000000000002,1.0000000000000007,6.661338147750939e-16,0.010375330453829434
1,1,0.03968297491249697,0.009930674402526495,0.0,1.000000000000001,0.9999999999999972,2.7755575615628914e-15,0.010375330453830212
2,0,0.0,0.0,0.0,1.0000000000000016,0.9999999999999996,1.5543122344752192e-15,0.010375330453822551
2,1,0.0,0.0,0.0,1.000000000000004,0.9999999999999996,3.9968028886505635e-15,0.010375330453820664
